"Partida"	"Puerta seleccionada"	"Puerta descubierta"	"Realizacion de cambio"	"Puerta final"	"Ganancia obtenida"
"1"	"1"	"A"	"C"	"No"	"A"	"Coche"
"2"	"2"	"B"	"A"	"No"	"B"	"Cabra"
"3"	"3"	"B"	"A"	"No"	"B"	"Cabra"
"4"	"4"	"A"	"B"	"No"	"A"	"Cabra"
"5"	"5"	"C"	"A"	"No"	"C"	"Coche"
"6"	"6"	"C"	"B"	"No"	"C"	"Coche"
"7"	"7"	"C"	"A"	"No"	"C"	"Cabra"
"8"	"8"	"A"	"B"	"Si"	"C"	"Coche"
"9"	"9"	"C"	"A"	"Si"	"B"	"Coche"
"10"	"10"	"C"	"B"	"No"	"C"	"Coche"
"11"	"11"	"A"	"B"	"No"	"A"	"Cabra"
"12"	"12"	"B"	"A"	"Si"	"C"	"Cabra"
"13"	"13"	"C"	"B"	"No"	"C"	"Cabra"
"14"	"14"	"B"	"A"	"Si"	"C"	"Cabra"
"15"	"15"	"C"	"B"	"Si"	"A"	"Cabra"
"16"	"16"	"B"	"A"	"Si"	"C"	"Coche"
"17"	"17"	"B"	"A"	"No"	"B"	"Coche"
"18"	"18"	"C"	"B"	"No"	"C"	"Coche"
"19"	"19"	"B"	"C"	"No"	"B"	"Cabra"
"20"	"20"	"C"	"B"	"No"	"C"	"Coche"
"21"	"21"	"C"	"B"	"No"	"C"	"Cabra"
"22"	"22"	"B"	"A"	"Si"	"C"	"Coche"
"23"	"23"	"A"	"B"	"Si"	"C"	"Cabra"
"24"	"24"	"B"	"A"	"No"	"B"	"Coche"
"25"	"25"	"B"	"A"	"Si"	"C"	"Coche"
"26"	"26"	"A"	"B"	"Si"	"C"	"Coche"
"27"	"27"	"C"	"B"	"Si"	"A"	"Coche"
"28"	"28"	"C"	"A"	"No"	"C"	"Cabra"
"29"	"29"	"A"	"C"	"Si"	"B"	"Coche"
"30"	"30"	"B"	"C"	"Si"	"A"	"Coche"
"31"	"31"	"B"	"A"	"Si"	"C"	"Coche"
"32"	"32"	"B"	"A"	"No"	"B"	"Cabra"
"33"	"33"	"A"	"B"	"No"	"A"	"Coche"
"34"	"34"	"B"	"C"	"Si"	"A"	"Coche"
"35"	"35"	"B"	"C"	"No"	"B"	"Coche"
"36"	"36"	"C"	"A"	"No"	"C"	"Cabra"
"37"	"37"	"B"	"C"	"No"	"B"	"Cabra"
"38"	"38"	"C"	"A"	"Si"	"B"	"Cabra"
"39"	"39"	"C"	"B"	"Si"	"A"	"Coche"
"40"	"40"	"A"	"C"	"No"	"A"	"Coche"
"41"	"41"	"A"	"B"	"Si"	"C"	"Coche"
"42"	"42"	"A"	"C"	"No"	"A"	"Cabra"
"43"	"43"	"A"	"C"	"No"	"A"	"Cabra"
"44"	"44"	"B"	"C"	"No"	"B"	"Coche"
"45"	"45"	"C"	"A"	"Si"	"B"	"Coche"
"46"	"46"	"B"	"A"	"Si"	"C"	"Cabra"
"47"	"47"	"C"	"A"	"Si"	"B"	"Coche"
"48"	"48"	"B"	"A"	"Si"	"C"	"Coche"
"49"	"49"	"A"	"B"	"No"	"A"	"Cabra"
"50"	"50"	"C"	"B"	"Si"	"A"	"Coche"
"51"	"51"	"B"	"A"	"No"	"B"	"Cabra"
"52"	"52"	"C"	"A"	"No"	"C"	"Coche"
"53"	"53"	"A"	"B"	"No"	"A"	"Cabra"
"54"	"54"	"A"	"C"	"Si"	"B"	"Coche"
"55"	"55"	"B"	"A"	"No"	"B"	"Cabra"
"56"	"56"	"A"	"B"	"No"	"A"	"Cabra"
"57"	"57"	"A"	"C"	"Si"	"B"	"Cabra"
"58"	"58"	"A"	"C"	"Si"	"B"	"Coche"
"59"	"59"	"B"	"C"	"No"	"B"	"Coche"
"60"	"60"	"B"	"C"	"Si"	"A"	"Coche"
"61"	"61"	"B"	"C"	"Si"	"A"	"Coche"
"62"	"62"	"A"	"C"	"No"	"A"	"Cabra"
"63"	"63"	"B"	"A"	"Si"	"C"	"Coche"
"64"	"64"	"C"	"B"	"Si"	"A"	"Coche"
"65"	"65"	"B"	"C"	"No"	"B"	"Cabra"
"66"	"66"	"B"	"A"	"No"	"B"	"Coche"
"67"	"67"	"C"	"B"	"Si"	"A"	"Coche"
"68"	"68"	"C"	"A"	"No"	"C"	"Cabra"
"69"	"69"	"C"	"B"	"No"	"C"	"Coche"
"70"	"70"	"C"	"B"	"Si"	"A"	"Cabra"
"71"	"71"	"C"	"A"	"Si"	"B"	"Coche"
"72"	"72"	"A"	"C"	"No"	"A"	"Cabra"
"73"	"73"	"A"	"C"	"Si"	"B"	"Cabra"
"74"	"74"	"C"	"A"	"Si"	"B"	"Cabra"
"75"	"75"	"B"	"C"	"No"	"B"	"Cabra"
"76"	"76"	"B"	"A"	"No"	"B"	"Coche"
"77"	"77"	"C"	"B"	"No"	"C"	"Coche"
"78"	"78"	"C"	"B"	"No"	"C"	"Cabra"
"79"	"79"	"A"	"B"	"No"	"A"	"Cabra"
"80"	"80"	"A"	"B"	"Si"	"C"	"Cabra"
