duration	nBids	cond	wheels	startPr	shipPr	totalPr
3	20	new	1	0.99	4	51.55
7	13	used	1	0.99	3.99	37.04
3	16	new	1	0.99	3.5	45.5
3	18	new	1	0.99	0	44
1	20	new	2	0.01	0	71
3	19	new	0	0.99	4	45
1	13	used	0	0.01	0	37.02
1	15	new	2	1	2.99	53.99
3	29	used	1	0.99	4	47
7	8	used	1	19.99	4	50
1	15	new	2	1	2.99	54.99
1	15	new	2	0.01	0	56.01
1	13	new	2	1	2.99	48
1	16	new	2	0.01	0	56
7	6	used	1	24.99	4	43.33
7	22	used	0	0.99	4	46
3	14	new	1	0.99	8.7	46.71
3	23	new	1	0.99	0	46
1	10	new	2	1	2.99	55.99
1	7	used	0	0.99	0	31
1	16	new	2	1	2.99	53.98
1	1	new	2	64.95	0	64.95
1	18	new	2	1	2.99	50.5
3	12	used	1	0.01	4	46.5
1	19	new	2	0.01	0	55
3	5	used	0	15	3.5	34.5
3	5	used	0	0.99	0	36
1	13	used	0	0.99	4	40
7	15	new	1	9.99	4	47
1	11	used	0	10	4	43
7	14	used	0	1.99	0	31
5	13	used	1	0.99	4	41.99
5	24	used	2	0.99	3.99	49.49
3	10	used	1	0.99	0	41
3	15	used	1	0.99	8.7	44.78
3	16	used	0	0.99	4	47
7	17	used	1	15	4	44
1	9	new	2	1	2.99	63.99
1	14	new	2	1	2.99	53.76
7	5	new	1	30	0	46.03
3	13	used	1	0.99	0	42.25
1	14	used	2	0.99	4	46
1	29	new	2	1	2.99	51.99
1	17	new	2	1	2.99	55.99
3	8	used	1	9.99	3.99	41.99
1	12	new	2	1	2.99	53.99
7	20	used	0	15	0	39
7	21	used	0	0.99	3	38.06
7	16	used	1	0.99	0	46
1	10	new	2	1	2.99	59.88
1	17	used	0	0.99	0	28.98
3	16	used	1	0.99	0	36
3	2	new	0	51.99	0	51.99
7	16	used	0	0.99	2.95	43.95
1	14	used	0	0.99	0	32
7	10	used	1	0.99	4	40.06
5	7	used	1	25	2.99	48
7	16	used	0	0.99	4	36
10	3	used	0	30	0	31
1	23	new	2	1	2.99	53.99
1	12	used	0	0.01	0	30
1	9	new	2	1	2.99	58
5	18	used	0	9.99	3.59	38.1
7	12	used	2	30	0	61.76
1	13	new	2	1	2.99	53.99
7	14	used	1	0.99	3	40
7	16	used	2	5	4	49.01
3	9	new	1	25	4	47
3	17	used	1	0.99	0	40.1
7	16	new	1	0.99	3.5	41.5
1	20	new	2	0.01	0	56
1	1	new	2	64.95	0	64.95
1	13	used	2	0.99	8.02	49
3	4	used	1	34.99	4	48
5	21	used	0	0.99	4	38
3	14	used	0	0.99	4	45
5	18	used	0	19.99	2.95	41.95
10	15	used	1	9.99	6	43.36
1	8	new	2	1	2.99	54.99
3	19	used	1	12	4	45.21
7	14	used	1	10	3.75	45.75
3	14	new	2	0.99	4	64
7	7	used	0	0.99	3	36
7	7	new	1	29.95	8.7	54.7
5	5	new	1	35	4	49.91
3	16	used	0	0.99	4	47
7	13	used	1	10	0	43
5	10	used	0	9.99	1.99	35.99
1	11	used	2	9.99	3.99	54.49
7	15	used	1	12	0	46
1	16	used	0	0.01	0	31.06
3	15	used	2	0.99	0	55.6
3	23	new	0	0.99	4	40.1
1	20	new	2	1	2.99	52.59
7	9	used	2	10	4	44
5	14	used	1	10	9.26	38.26
5	11	used	2	19.99	4	51
1	13	new	2	1	2.99	48.99
1	1	new	2	54.99	11.45	66.44
1	22	new	2	0.01	0	63.5
5	7	used	0	0.99	4	42
7	18	new	1	18	4	47
5	17	used	2	0.99	4	55
7	9	used	1	0.01	3	33.01
1	16	new	2	1	2.99	53.76
5	20	new	1	0.01	0	46
3	16	used	0	0.99	4	43
3	5	used	1	35	0	42.55
7	5	used	2	1	0	52.5
1	25	new	2	1	2.99	57.5
7	7	used	1	25	11.42	48.92
7	18	new	1	9.99	4	45.99
7	10	used	1	0.99	4	40.05
1	13	new	1	0.01	0	45
3	8	used	2	20	4	50
7	16	new	0	9.99	9.69	49.75
7	3	used	1	38	4	47
1	17	new	2	1	2.99	56
1	11	used	1	1	0	41
3	9	new	1	0.01	0	46
7	10	used	1	0.99	3.99	34.99
1	23	used	2	0.99	0	49
1	19	new	2	0.01	0	61
1	14	new	2	0.01	0	62.89
3	11	new	1	0.99	4	46
1	1	new	2	64.95	0	64.95
7	14	used	0	9.95	3.99	36.99
7	14	used	1	16	4	44
5	17	used	1	0.99	10.35	41.35
7	11	used	0	9.99	3	37
1	18	new	2	1	2.99	58.98
5	20	used	0	0.99	4	39
7	6	used	1	24.99	8.7	40.7
1	20	used	0	0.01	0	39.51
7	9	used	2	17.99	0	52
3	14	new	1	0.99	8.7	47.7
7	13	used	0	1	4.9	38.76
1	13	new	2	1	2.99	54.51
