"ocurrencias"	"word"
"don"	2647	"don"
"quijote"	2175	"quijote"
"sancho"	2148	"sancho"
"dijo"	1808	"dijo"
"tan"	1243	"tan"
"así"	1065	"así"
"respondió"	1063	"respondió"
"señor"	1063	"señor"
"ser"	1056	"ser"
"bien"	1050	"bien"
"merced"	900	"merced"
"pues"	865	"pues"
"sino"	694	"sino"
"dos"	684	"dos"
"caballero"	661	"caballero"
"decir"	578	"decir"
"hacer"	535	"hacer"
"aunque"	531	"aunque"
"dios"	531	"dios"
"aquí"	516	"aquí"
"señora"	516	"señora"
"aquel"	487	"aquel"
"mal"	459	"mal"
"cosa"	447	"cosa"
"buen"	442	"buen"
"verdad"	432	"verdad"
"tal"	428	"tal"
"allí"	421	"allí"
"ver"	408	"ver"
"mundo"	394	"mundo"
"luego"	390	"luego"
"alguna"	385	"alguna"
"todas"	374	"todas"
"dicho"	373	"dicho"
"dar"	368	"dar"
"ahora"	366	"ahora"
"buena"	363	"buena"
"parte"	363	"parte"
"vida"	356	"vida"
"cosas"	347	"cosas"
"menos"	347	"menos"
"lugar"	345	"lugar"
"gran"	340	"gran"
"casa"	334	"casa"
"aquella"	333	"aquella"
"panza"	329	"panza"
"manera"	328	"manera"
"tiempo"	327	"tiempo"
"digo"	323	"digo"
"toda"	320	"toda"
"cura"	313	"cura"
"puesto"	307	"puesto"
"mano"	304	"mano"
"amo"	297	"amo"
"dio"	294	"dio"
"caballeros"	293	"caballeros"
"mejor"	293	"mejor"
"ojos"	285	"ojos"
"puede"	285	"puede"
"visto"	285	"visto"
"algún"	283	"algún"
"dulcinea"	282	"dulcinea"
"cómo"	275	"cómo"
"día"	274	"día"
"tierra"	274	"tierra"
"hecho"	272	"hecho"
"quién"	270	"quién"
"quiero"	260	"quiero"
"aun"	259	"aun"
"hombre"	259	"hombre"
"padre"	259	"padre"
"pero"	255	"pero"
"haber"	254	"haber"
"cielo"	252	"cielo"
"amigo"	249	"amigo"
"historia"	249	"historia"
