"CONCEPTO";"PRED NET SALES";"SALES TO DATE";"NUMBER OF ORDERS";"AVERAGE ORDER";"UNITS PER ORDER";"RFACTOR";"CAMPDIA";"CAMP";"DAYS";"DATES";"SALES_TODAY";"ORDERS_TODAY";"DAYBEFORE";"Añocamp";"Orders";"GrossSales"
"0 1.BRANCH CURR-CAMP";2075000,00;105260,00;1715,00;61,38;40,00;16,00;"CAMP15  DAY01 21/03/14";"CAMP15";"DAY01";21/3/2014 0:00:00;105260,00;1715,00;"DAY01";201415;;
"0 1.BRANCH OFF-SCHED";625000,00;51346,00;247,00;207,88;90,00;11,00;"CAMP15  DAY01 21/03/14";"CAMP15";"DAY01";21/3/2014 0:00:00;51346,00;247,00;"DAY01";201415;;
"0 1.BRANCH EST.-CAMP";700000,00;252490,00;1,00;1,00;1,00;1,00;"CAMP14  DAY13 20/03/14";"CAMP14";"DAY13";20/3/2014 0:00:00;0,00;0,00;"DAY12";201414;;
"0 1.BRANCH OFF-SCHED";615000,00;586779,00;977,00;600,59;243,00;1,05;"CAMP14  DAY13 20/03/14";"CAMP14";"DAY13";20/3/2014 0:00:00;10052,00;977,00;"DAY12";201414;;
"0 1.BRANCH CURR-CAMP";1800000,00;1734594,00;26622,00;65,16;40,00;1,04;"CAMP14  DAY13 20/03/14";"CAMP14";"DAY13";20/3/2014 0:00:00;52809,00;448,00;"DAY12";201414;;
"0 1.BRANCH OFF-SCHED";615000,00;576727,00;977,00;590,30;239,00;1,07;"CAMP14  DAY12 19/03/14";"CAMP14";"DAY12";19/3/2014 0:00:00;16490,00;6,00;"DAY11";201414;;
"0 1.BRANCH CURR-CAMP";1800000,00;1681785,00;26174,00;64,25;40,00;1,07;"CAMP14  DAY12 19/03/14";"CAMP14";"DAY12";19/3/2014 0:00:00;67801,00;886,00;"DAY11";201414;;
"0 1.BRANCH OFF-SCHED";650000,00;560237,00;971,00;576,97;234,00;1,16;"CAMP14  DAY11 18/03/14";"CAMP14";"DAY11";18/3/2014 0:00:00;31814,00;11,00;"DAY10";201414;;
"0 1.BRANCH CURR-CAMP";1850000,00;1613984,00;25288,00;63,82;40,00;1,15;"CAMP14  DAY11 18/03/14";"CAMP14";"DAY11";18/3/2014 0:00:00;106273,00;1597,00;"DAY10";201414;;
"0 1.BRANCH CURR-CAMP";1850000,00;1507711,00;23691,00;63,64;40,00;1,23;"CAMP14  DAY10 17/03/14";"CAMP14";"DAY10";17/3/2014 0:00:00;147818,00;2292,00;"DAY09";201414;;
"0 1.BRANCH OFF-SCHED";650000,00;528423,00;960,00;550,44;224,00;1,23;"CAMP14  DAY10 17/03/14";"CAMP14";"DAY10";17/3/2014 0:00:00;44909,00;14,00;"DAY09";201414;;
"0 1.BRANCH CURR-CAMP";1850000,00;1359893,00;21399,00;63,55;40,00;1,36;"CAMP14  DAY09 14/03/14";"CAMP14";"DAY09";14/3/2014 0:00:00;123138,00;1941,00;"DAY08";201414;;
"0 1.BRANCH OFF-SCHED";650000,00;483514,00;946,00;511,11;209,00;1,34;"CAMP14  DAY09 14/03/14";"CAMP14";"DAY09";14/3/2014 0:00:00;36218,00;28,00;"DAY08";201414;;
"0 1.BRANCH OFF-SCHED";650000,00;447296,00;918,00;487,25;200,00;1,45;"CAMP14  DAY08 13/03/14";"CAMP14";"DAY08";13/3/2014 0:00:00;48872,00;35,00;"DAY07";201414;;
"0 1.BRANCH CURR-CAMP";1850000,00;1236755,00;19458,00;63,56;40,00;1,50;"CAMP14  DAY08 13/03/14";"CAMP14";"DAY08";13/3/2014 0:00:00;153176,00;2373,00;"DAY07";201414;;
"0 1.BRANCH OFF-SCHED";650000,00;398424,00;883,00;451,22;186,00;1,63;"CAMP14  DAY07 12/03/14";"CAMP14";"DAY07";12/3/2014 0:00:00;48963,00;39,00;"DAY06";201414;;
"0 1.BRANCH CURR-CAMP";1750000,00;1083579,00;17085,00;63,42;40,00;1,62;"CAMP14  DAY07 12/03/14";"CAMP14";"DAY07";12/3/2014 0:00:00;155015,00;2379,00;"DAY06";201414;;
"0 1.BRANCH CURR-CAMP";1750000,00;928564,00;14706,00;63,14;40,00;1,88;"CAMP14  DAY06 11/03/14";"CAMP14";"DAY06";11/3/2014 0:00:00;177064,00;2748,00;"DAY05";201414;;
"0 1.BRANCH OFF-SCHED";650000,00;349461,00;844,00;414,05;173,00;1,86;"CAMP14  DAY06 11/03/14";"CAMP14";"DAY06";11/3/2014 0:00:00;55485,00;73,00;"DAY05";201414;;
"0 1.BRANCH CURR-CAMP";1750000,00;751500,00;11958,00;62,85;40,00;2,33;"CAMP14  DAY05 10/03/14";"CAMP14";"DAY05";10/3/2014 0:00:00;167981,00;2754,00;"DAY04";201414;;
"0 1.BRANCH EST.-CAMP";700000,00;13917,00;1,00;1,00;1,00;1,00;"CAMP14  DAY05 10/03/14";"CAMP14";"DAY05";10/3/2014 0:00:00;0,00;0,00;"DAY04";201414;;
"0 1.BRANCH OFF-SCHED";650000,00;293976,00;771,00;381,29;161,00;2,21;"CAMP14  DAY05 10/03/14";"CAMP14";"DAY05";10/3/2014 0:00:00;59944,00;52,00;"DAY04";201414;;
"0 1.BRANCH OFF-SCHED";650000,00;234032,00;719,00;325,50;139,00;2,78;"CAMP14  DAY04 07/03/14";"CAMP14";"DAY04";7/3/2014 0:00:00;44220,00;76,00;"DAY03";201414;;
"0 1.BRANCH CURR-CAMP";1750000,00;583519,00;9204,00;63,40;40,00;3,00;"CAMP14  DAY04 07/03/14";"CAMP14";"DAY04";7/3/2014 0:00:00;121511,00;2039,00;"DAY03";201414;;
"0 1.BRANCH EST.-CAMP";700000,00;10448,00;1,00;1,00;1,00;1,00;"CAMP14  DAY03 06/03/14";"CAMP14";"DAY03";6/3/2014 0:00:00;0,00;0,00;"DAY02";201414;;
"0 1.BRANCH OFF-SCHED";650000,00;189812,00;643,00;295,20;127,00;3,42;"CAMP14  DAY03 06/03/14";"CAMP14";"DAY03";6/3/2014 0:00:00;58662,00;109,00;"DAY02";201414;;
"0 1.BRANCH CURR-CAMP";1750000,00;462008,00;7165,00;64,48;40,00;3,79;"CAMP14  DAY03 06/03/14";"CAMP14";"DAY03";6/3/2014 0:00:00;154244,00;2434,00;"DAY02";201414;;
"0 1.BRANCH CURR-CAMP";1750000,00;307764,00;4731,00;65,05;40,00;5,69;"CAMP14  DAY02 05/03/14";"CAMP14";"DAY02";5/3/2014 0:00:00;151743,00;2386,00;"DAY01";201414;;
"0 1.BRANCH OFF-SCHED";650000,00;131150,00;534,00;245,60;108,00;4,96;"CAMP14  DAY02 05/03/14";"CAMP14";"DAY02";5/3/2014 0:00:00;58077,00;146,00;"DAY01";201414;;
"0 1.BRANCH CURR-CAMP";1750000,00;156021,00;2345,00;66,53;41,00;11,22;"CAMP14  DAY01 04/03/14";"CAMP14";"DAY01";4/3/2014 0:00:00;156021,00;2345,00;"DAY01";201414;;
"0 1.BRANCH OFF-SCHED";650000,00;73073,00;388,00;188,33;86,00;8,90;"CAMP14  DAY01 04/03/14";"CAMP14";"DAY01";4/3/2014 0:00:00;73073,00;388,00;"DAY01";201414;;
"0 1.BRANCH OFF-SCHED";600000,00;570459,00;851,00;670,34;292,00;1,05;"CAMP13  DAY13 03/03/14";"CAMP13";"DAY13";3/3/2014 0:00:00;11239,00;7,00;"DAY12";201413;;
"0 1.BRANCH CURR-CAMP";1700000,00;1708791,00;28809,00;59,31;38,00;1,00;"CAMP13  DAY13 03/03/14";"CAMP13";"DAY13";3/3/2014 0:00:00;89237,00;1253,00;"DAY12";201413;;
"0 1.BRANCH EST.-CAMP";700000,00;261164,00;1,00;1,00;1,00;1,00;"CAMP13  DAY13 03/03/14";"CAMP13";"DAY13";3/3/2014 0:00:00;0,00;0,00;"DAY12";201413;;
"0 1.BRANCH OFF-SCHED";600000,00;559220,00;844,00;662,58;288,00;1,07;"CAMP13  DAY12 28/02/14";"CAMP13";"DAY12";28/2/2014 0:00:00;19716,00;7,00;"DAY11";201413;;
"0 1.BRANCH CURR-CAMP";1700000,00;1619554,00;27556,00;58,77;38,00;1,05;"CAMP13  DAY12 28/02/14";"CAMP13";"DAY12";28/2/2014 0:00:00;72799,00;1036,00;"DAY11";201413;;
"0 1.BRANCH OFF-SCHED";600000,00;539504,00;837,00;644,57;280,00;1,11;"CAMP13  DAY11 27/02/14";"CAMP13";"DAY11";27/2/2014 0:00:00;31957,00;13,00;"DAY10";201413;;
"0 1.BRANCH CURR-CAMP";1700000,00;1546755,00;26520,00;58,32;38,00;1,10;"CAMP13  DAY11 27/02/14";"CAMP13";"DAY11";27/2/2014 0:00:00;104473,00;1612,00;"DAY10";201413;;
"0 1.BRANCH OFF-SCHED";600000,00;507547,00;824,00;615,96;269,00;1,18;"CAMP13  DAY10 26/02/14";"CAMP13";"DAY10";26/2/2014 0:00:00;39709,00;29,00;"DAY09";201413;;
"0 1.BRANCH CURR-CAMP";1700000,00;1442282,00;24908,00;57,90;38,00;1,18;"CAMP13  DAY10 26/02/14";"CAMP13";"DAY10";26/2/2014 0:00:00;131295,00;2272,00;"DAY09";201413;;
"0 1.BRANCH OFF-SCHED";600000,00;467838,00;795,00;588,48;257,00;1,28;"CAMP13  DAY09 25/02/14";"CAMP13";"DAY09";25/2/2014 0:00:00;45045,00;23,00;"DAY08";201413;;
"0 1.BRANCH CURR-CAMP";1700000,00;1310987,00;22636,00;57,92;38,00;1,30;"CAMP13  DAY09 25/02/14";"CAMP13";"DAY09";25/2/2014 0:00:00;157874,00;2546,00;"DAY08";201413;;
"0 1.BRANCH OFF-SCHED";600000,00;422793,00;772,00;547,66;241,00;1,42;"CAMP13  DAY08 24/02/14";"CAMP13";"DAY08";24/2/2014 0:00:00;54227,00;27,00;"DAY07";201413;;
"0 1.BRANCH CURR-CAMP";1700000,00;1153113,00;20090,00;57,40;38,00;1,47;"CAMP13  DAY08 24/02/14";"CAMP13";"DAY08";24/2/2014 0:00:00;187292,00;3021,00;"DAY07";201413;;
"0 1.BRANCH OFF-SCHED";600000,00;368566,00;745,00;494,72;219,00;1,63;"CAMP13  DAY07 21/02/14";"CAMP13";"DAY07";21/2/2014 0:00:00;38005,00;32,00;"DAY06";201413;;
"0 1.BRANCH CURR-CAMP";1700000,00;965821,00;17069,00;56,58;37,00;1,76;"CAMP13  DAY07 21/02/14";"CAMP13";"DAY07";21/2/2014 0:00:00;118991,00;2196,00;"DAY06";201413;;
"0 1.BRANCH CURR-CAMP";1800000,00;846830,00;14873,00;56,94;37,00;2,13;"CAMP13  DAY06 20/02/14";"CAMP13";"DAY06";20/2/2014 0:00:00;137643,00;2427,00;"DAY05";201413;;
"0 1.BRANCH OFF-SCHED";700000,00;330561,00;713,00;463,62;206,00;2,12;"CAMP13  DAY06 20/02/14";"CAMP13";"DAY06";20/2/2014 0:00:00;44289,00;60,00;"DAY05";201413;;
"0 1.BRANCH CURR-CAMP";1800000,00;709187,00;12446,00;56,98;38,00;2,54;"CAMP13  DAY05 19/02/14";"CAMP13";"DAY05";19/2/2014 0:00:00;146114,00;2541,00;"DAY04";201413;;
"0 1.BRANCH OFF-SCHED";700000,00;286272,00;653,00;438,40;195,00;2,45;"CAMP13  DAY05 19/02/14";"CAMP13";"DAY05";19/2/2014 0:00:00;51716,00;58,00;"DAY04";201413;;
"0 1.BRANCH EST.-CAMP";700000,00;21286,00;1,00;1,00;1,00;1,00;"CAMP13  DAY05 19/02/14";"CAMP13";"DAY05";19/2/2014 0:00:00;0,00;0,00;"DAY04";201413;;
"0 1.BRANCH CURR-CAMP";1800000,00;563073,00;9905,00;56,85;38,00;3,20;"CAMP13  DAY04 18/02/14";"CAMP13";"DAY04";18/2/2014 0:00:00;168211,00;2877,00;"DAY03";201413;;
"0 1.BRANCH OFF-SCHED";700000,00;234556,00;595,00;394,21;176,00;2,98;"CAMP13  DAY04 18/02/14";"CAMP13";"DAY04";18/2/2014 0:00:00;59146,00;66,00;"DAY03";201413;;
"0 1.BRANCH OFF-SCHED";700000,00;175410,00;529,00;331,59;149,00;3,99;"CAMP13  DAY03 17/02/14";"CAMP13";"DAY03";17/2/2014 0:00:00;61369,00;67,00;"DAY02";201413;;
"0 1.BRANCH CURR-CAMP";1800000,00;394862,00;7028,00;56,18;37,00;4,56;"CAMP13  DAY03 17/02/14";"CAMP13";"DAY03";17/2/2014 0:00:00;177498,00;3015,00;"DAY02";201413;;
"0 1.BRANCH OFF-SCHED";700000,00;114041,00;462,00;246,84;114,00;6,14;"CAMP13  DAY02 14/02/14";"CAMP13";"DAY02";14/2/2014 0:00:00;47859,00;110,00;"DAY01";201413;;
"0 1.BRANCH CURR-CAMP";1800000,00;217364,00;4013,00;54,17;36,00;8,28;"CAMP13  DAY02 14/02/14";"CAMP13";"DAY02";14/2/2014 0:00:00;107125,00;2039,00;"DAY01";201413;;
"0 1.BRANCH OFF-SCHED";700000,00;66182,00;352,00;188,02;91,00;10,58;"CAMP13  DAY01 13/02/14";"CAMP13";"DAY01";13/2/2014 0:00:00;66182,00;352,00;"DAY01";201413;;
"0 1.BRANCH CURR-CAMP";1800000,00;110239,00;1974,00;55,85;37,00;16,00;"CAMP13  DAY01 13/02/14";"CAMP13";"DAY01";13/2/2014 0:00:00;110239,00;1974,00;"DAY01";201413;;
"0 1.BRANCH EST.-CAMP";675000,00;161221,36;1,00;1,00;1,00;1,00;"CAMP12  DAY13 12/02/14";"CAMP12";"DAY13";12/2/2014 0:00:00;0,00;0,00;"DAY12";201412;;
"0 1.BRANCH OFF-SCHED";675000,00;656447,00;813,00;807,44;302,00;1,03;"CAMP12  DAY13 12/02/14";"CAMP12";"DAY13";12/2/2014 0:00:00;11983,00;5,00;"DAY12";201412;;
"0 1.BRANCH CURR-CAMP";1700000,00;1668459,00;26788,00;62,28;43,00;1,02;"CAMP12  DAY13 12/02/14";"CAMP12";"DAY13";12/2/2014 0:00:00;57404,00;475,00;"DAY12";201412;;
"0 1.BRANCH OFF-SCHED";675000,00;644464,00;808,00;797,60;298,00;1,05;"CAMP12  DAY12 11/02/14";"CAMP12";"DAY12";11/2/2014 0:00:00;24621,00;12,00;"DAY11";201412;;
"0 1.BRANCH CURR-CAMP";1700000,00;1611055,00;26313,00;61,23;43,00;1,06;"CAMP12  DAY12 11/02/14";"CAMP12";"DAY12";11/2/2014 0:00:00;82509,00;1120,00;"DAY11";201412;;
"0 1.BRANCH OFF-SCHED";675000,00;619843,00;796,00;778,70;292,00;1,09;"CAMP12  DAY11 10/02/14";"CAMP12";"DAY11";10/2/2014 0:00:00;42961,00;18,00;"DAY10";201412;;
"0 1.BRANCH CURR-CAMP";1700000,00;1528546,00;25193,00;60,67;42,00;1,11;"CAMP12  DAY11 10/02/14";"CAMP12";"DAY11";10/2/2014 0:00:00;121055,00;1906,00;"DAY10";201412;;
"0 1.BRANCH CURR-CAMP";1750000,00;1407491,00;23287,00;60,44;42,00;1,24;"CAMP12  DAY10 07/02/14";"CAMP12";"DAY10";7/2/2014 0:00:00;99527,00;1709,00;"DAY09";201412;;
"0 1.BRANCH OFF-SCHED";675000,00;576882,00;778,00;741,49;279,00;1,17;"CAMP12  DAY10 07/02/14";"CAMP12";"DAY10";7/2/2014 0:00:00;37433,00;17,00;"DAY09";201412;;
"0 1.BRANCH OFF-SCHED";650000,00;539449,00;761,00;708,87;267,00;1,20;"CAMP12  DAY09 06/02/14";"CAMP12";"DAY09";6/2/2014 0:00:00;50114,00;29,00;"DAY08";201412;;
"0 1.BRANCH CURR-CAMP";1750000,00;1307964,00;21578,00;60,62;42,00;1,34;"CAMP12  DAY09 06/02/14";"CAMP12";"DAY09";6/2/2014 0:00:00;129291,00;2086,00;"DAY08";201412;;
"0 1.BRANCH OFF-SCHED";650000,00;489335,00;732,00;668,49;253,00;1,33;"CAMP12  DAY08 05/02/14";"CAMP12";"DAY08";5/2/2014 0:00:00;53375,00;39,00;"DAY07";201412;;
"0 1.BRANCH CURR-CAMP";1750000,00;1178673,00;19492,00;60,47;42,00;1,48;"CAMP12  DAY08 05/02/14";"CAMP12";"DAY08";5/2/2014 0:00:00;146526,00;2356,00;"DAY07";201412;;
"0 1.BRANCH OFF-SCHED";650000,00;435960,00;693,00;629,09;238,00;1,49;"CAMP12  DAY07 04/02/14";"CAMP12";"DAY07";4/2/2014 0:00:00;60402,00;51,00;"DAY06";201412;;
"0 1.BRANCH CURR-CAMP";1750000,00;1032147,00;17136,00;60,23;42,00;1,70;"CAMP12  DAY07 04/02/14";"CAMP12";"DAY07";4/2/2014 0:00:00;167764,00;2602,00;"DAY06";201412;;
"0 1.BRANCH OFF-SCHED";650000,00;375558,00;642,00;584,98;223,00;1,73;"CAMP12  DAY06 03/02/14";"CAMP12";"DAY06";3/2/2014 0:00:00;61550,00;63,00;"DAY05";201412;;
"0 1.BRANCH CURR-CAMP";1750000,00;864383,00;14534,00;59,47;42,00;2,02;"CAMP12  DAY06 03/02/14";"CAMP12";"DAY06";3/2/2014 0:00:00;168741,00;2815,00;"DAY05";201412;;
"0 1.BRANCH CURR-CAMP";1750000,00;695642,00;11719,00;59,36;42,00;2,52;"CAMP12  DAY05 31/01/14";"CAMP12";"DAY05";31/1/2014 0:00:00;104321,00;1923,00;"DAY04";201412;;
"0 1.BRANCH OFF-SCHED";650000,00;314008,00;579,00;542,33;208,00;2,07;"CAMP12  DAY05 31/01/14";"CAMP12";"DAY05";31/1/2014 0:00:00;44483,00;43,00;"DAY04";201412;;
"0 1.BRANCH EST.-CAMP";1,00;18040,00;1,00;1,00;1,00;1,00;"CAMP12  DAY05 31/01/14";"CAMP12";"DAY05";31/1/2014 0:00:00;0,00;0,00;"DAY04";201412;;
"0 1.BRANCH OFF-SCHED";650000,00;269525,00;536,00;502,85;193,00;2,41;"CAMP12  DAY04 30/01/14";"CAMP12";"DAY04";30/1/2014 0:00:00;55752,00;47,00;"DAY03";201412;;
"0 1.BRANCH CURR-CAMP";1750000,00;591321,00;9796,00;60,36;42,00;2,96;"CAMP12  DAY04 30/01/14";"CAMP12";"DAY04";30/1/2014 0:00:00;125549,00;2189,00;"DAY03";201412;;
"0 1.BRANCH OFF-SCHED";650000,00;213773,00;489,00;437,17;170,00;3,04;"CAMP12  DAY03 29/01/14";"CAMP12";"DAY03";29/1/2014 0:00:00;63414,00;73,00;"DAY02";201412;;
"0 1.BRANCH CURR-CAMP";1750000,00;465772,00;7607,00;61,23;43,00;3,76;"CAMP12  DAY03 29/01/14";"CAMP12";"DAY03";29/1/2014 0:00:00;147411,00;2498,00;"DAY02";201412;;
"0 1.BRANCH OFF-SCHED";650000,00;150359,00;416,00;361,44;144,00;4,32;"CAMP12  DAY02 28/01/14";"CAMP12";"DAY02";28/1/2014 0:00:00;72598,00;135,00;"DAY01";201412;;
"0 1.BRANCH CURR-CAMP";1750000,00;318361,00;5109,00;62,31;43,00;5,50;"CAMP12  DAY02 28/01/14";"CAMP12";"DAY02";28/1/2014 0:00:00;171189,00;2652,00;"DAY01";201412;;
"0 1.BRANCH CURR-CAMP";1750000,00;147172,00;2457,00;59,90;42,00;11,89;"CAMP12  DAY01 27/01/14";"CAMP12";"DAY01";27/1/2014 0:00:00;147172,00;2457,00;"DAY01";201412;;
"0 1.BRANCH OFF-SCHED";650000,00;77761,00;281,00;276,73;116,00;8,36;"CAMP12  DAY01 27/01/14";"CAMP12";"DAY01";27/1/2014 0:00:00;77761,00;281,00;"DAY01";201412;;
"0 1.BRANCH EST.-CAMP";525000,00;218337,00;1,00;1,00;1,00;1,00;"CAMP11  DAY12 23/01/14";"CAMP11";"DAY12";23/1/2014 0:00:00;0,00;0,00;"DAY11";201411;;
"0 1.BRANCH CURR-CAMP";1450000,00;1353160,00;22003,00;61,50;40,00;1,07;"CAMP11  DAY12 23/01/14";"CAMP11";"DAY12";23/1/2014 0:00:00;69577,00;861,00;"DAY11";201411;;
"0 1.BRANCH OFF-SCHED";525000,00;458810,00;701,00;654,51;279,00;1,14;"CAMP11  DAY12 23/01/14";"CAMP11";"DAY12";23/1/2014 0:00:00;16837,00;10,00;"DAY11";201411;;
"0 1.BRANCH OFF-SCHED";525000,00;441973,00;691,00;639,61;273,00;1,19;"CAMP11  DAY11 22/01/14";"CAMP11";"DAY11";22/1/2014 0:00:00;27337,00;8,00;"DAY10";201411;;
"0 1.BRANCH CURR-CAMP";1450000,00;1283583,00;21142,00;60,71;40,00;1,13;"CAMP11  DAY11 22/01/14";"CAMP11";"DAY11";22/1/2014 0:00:00;94933,00;1360,00;"DAY10";201411;;
"0 1.BRANCH OFF-SCHED";525000,00;414636,00;683,00;607,08;260,00;1,27;"CAMP11  DAY10 21/01/14";"CAMP11";"DAY10";21/1/2014 0:00:00;35494,00;20,00;"DAY09";201411;;
